"id";"label";"type";"title";"shape";"image";"is_sustainable"
"iCountry_31";"Russia";"iCountry";"Russia";"image";"https://flagsapi.com/RU/flat/64.png";
"iCountry_32";"Germany";"iCountry";"Germany";"image";"https://flagsapi.com/DE/flat/64.png";
"iCountry_33";"Nigeria";"iCountry";"Nigeria";"image";"https://flagsapi.com/NG/flat/64.png";
"iCountry_34";"Italy";"iCountry";"Italy";"image";"https://flagsapi.com/IT/flat/64.png";
"iCountry_35";"Netherlands";"iCountry";"Netherlands";"image";"https://flagsapi.com/NL/flat/64.png";
"iCountry_36";"Denmark";"iCountry";"Denmark";"image";"https://flagsapi.com/DK/flat/64.png";
"iCountry_37";"Poland";"iCountry";"Poland";"image";"https://flagsapi.com/PL/flat/64.png";
"iCountry_38";"Iceland";"iCountry";"Iceland";"image";"https://flagsapi.com/IS/flat/64.png";
"iCountry_39";"Maldives";"iCountry";"Maldives";"image";"https://flagsapi.com/MV/flat/64.png";
"iCountry_4";"China";"iCountry";"China";"image";"https://flagsapi.com/CN/flat/64.png";
"iCountry_40";"Norway";"iCountry";"Norway";"image";"https://flagsapi.com/NO/flat/64.png";
"iCountry_41";"Chile";"iCountry";"Chile";"image";"https://flagsapi.com/CL/flat/64.png";
"iCountry_5";"Mexico";"iCountry";"Mexico";"image";"https://flagsapi.com/MX/flat/64.png";
"iCountry_6";"Japan";"iCountry";"Japan";"image";"https://flagsapi.com/JP/flat/64.png";
"iCountry_7";"India";"iCountry";"India";"image";"https://flagsapi.com/IN/flat/64.png";
"iCountry_8";"Thailand";"iCountry";"Thailand";"image";"https://flagsapi.com/TH/flat/64.png";
"iCountry_9";"Vietnam";"iCountry";"Vietnam";"image";"https://flagsapi.com/VN/flat/64.png";
"icCountry_1";"USA";"icCountry";"USA";"image";"https://flagsapi.com/US/flat/64.png";
"icCountry_10";"Indonesia";"icCountry";"Indonesia";"image";"https://flagsapi.com/ID/flat/64.png";
"icCountry_11";"European Union";"icCountry";"European Union";"image";"src/Assets/eu_flag.svg";
"icCountry_12";"Ecuador";"icCountry";"Ecuador";"image";"https://flagsapi.com/EC/flat/64.png";
"icCountry_13";"Brazil";"icCountry";"Brazil";"image";"https://flagsapi.com/BR/flat/64.png";
"icCountry_14";"Argentina";"icCountry";"Argentina";"image";"https://flagsapi.com/AR/flat/64.png";
"icCountry_15";"Ukraine";"icCountry";"Ukraine";"image";"https://flagsapi.com/UA/flat/64.png";
"icCountry_16";"South Korea";"icCountry";"South Korea";"image";"https://flagsapi.com/KR/flat/64.png";
"icCountry_17";"Philippines";"icCountry";"Philippines";"image";"https://flagsapi.com/PH/flat/64.png";
"icCountry_18";"Bangladesh";"icCountry";"Bangladesh";"image";"https://flagsapi.com/BD/flat/64.png";
"icCountry_19";"Hong Kong";"icCountry";"Hong Kong";"image";"https://flagsapi.com/HK/flat/64.png";
"icCountry_2";"Australia";"icCountry";"Australia";"image";"https://flagsapi.com/AU/flat/64.png";
"icCountry_20";"United Kingdom";"icCountry";"United Kingdom";"image";"https://flagsapi.com/GB/flat/64.png";
"icCountry_21";"Spain";"icCountry";"Spain";"image";"https://flagsapi.com/ES/flat/64.png";
"icCountry_22";"Taiwan";"icCountry";"Taiwan";"image";"https://flagsapi.com/TW/flat/64.png";
"icCountry_23";"Malaysia";"icCountry";"Malaysia";"image";"https://flagsapi.com/MY/flat/64.png";
"icCountry_24";"Singapore";"icCountry";"Singapore";"image";"https://flagsapi.com/SG/flat/64.png";
"icCountry_25";"Ireland";"icCountry";"Ireland";"image";"https://flagsapi.com/IE/flat/64.png";
"icCountry_26";"Switzerland";"icCountry";"Switzerland";"image";"https://flagsapi.com/CH/flat/64.png";
"icCountry_27";"Belgium";"icCountry";"Belgium";"image";"https://flagsapi.com/BE/flat/64.png";
"icCountry_28";"France";"icCountry";"France";"image";"https://flagsapi.com/FR/flat/64.png";
"icCountry_29";"Lithuania";"icCountry";"Lithuania";"image";"https://flagsapi.com/LT/flat/64.png";
"icCountry_3";"Canada";"icCountry";"Canada";"image";"https://flagsapi.com/CA/flat/64.png";
"icCountry_30";"Peru";"icCountry";"Peru";"image";"https://flagsapi.com/PE/flat/64.png";
"icCountry_31";"Russia";"icCountry";"Russia";"image";"https://flagsapi.com/RU/flat/64.png";
"icCountry_32";"Germany";"icCountry";"Germany";"image";"https://flagsapi.com/DE/flat/64.png";
"icCountry_33";"Nigeria";"icCountry";"Nigeria";"image";"https://flagsapi.com/NG/flat/64.png";
"icCountry_34";"Italy";"icCountry";"Italy";"image";"https://flagsapi.com/IT/flat/64.png";
"icCountry_35";"Netherlands";"icCountry";"Netherlands";"image";"https://flagsapi.com/NL/flat/64.png";
"icCountry_36";"Denmark";"icCountry";"Denmark";"image";"https://flagsapi.com/DK/flat/64.png";
"icCountry_37";"Poland";"icCountry";"Poland";"image";"https://flagsapi.com/PL/flat/64.png";
"icCountry_38";"Iceland";"icCountry";"Iceland";"image";"https://flagsapi.com/IS/flat/64.png";
"icCountry_39";"Maldives";"icCountry";"Maldives";"image";"https://flagsapi.com/MV/flat/64.png";
"icCountry_4";"China";"icCountry";"China";"image";"https://flagsapi.com/CN/flat/64.png";
"icCountry_40";"Norway";"icCountry";"Norway";"image";"https://flagsapi.com/NO/flat/64.png";
"icCountry_41";"Chile";"icCountry";"Chile";"image";"https://flagsapi.com/CL/flat/64.png";
"icCountry_5";"Mexico";"icCountry";"Mexico";"image";"https://flagsapi.com/MX/flat/64.png";
"icCountry_6";"Japan";"icCountry";"Japan";"image";"https://flagsapi.com/JP/flat/64.png";
"icCountry_7";"India";"icCountry";"India";"image";"https://flagsapi.com/IN/flat/64.png";
"icCountry_8";"Thailand";"icCountry";"Thailand";"image";"https://flagsapi.com/TH/flat/64.png";
"icCountry_9";"Vietnam";"icCountry";"Vietnam";"image";"https://flagsapi.com/VN/flat/64.png";
"imp_1";"Eutrophication";"Impact";"Nutrient overload causing algal blooms and aquatic dead zones";;;
"imp_10";"Unsafe Drinking Water";"Impact";"Contaminated water unfit for consumption";;;
"imp_11";"Reduced Agricultural Yield";"Impact";"Decreased crop or livestock productivity";;;
"imp_12";"Sea Level Rise";"Impact";"Increased coastal flooding from rising oceans";;;
"imp_13";"Natural Disaster Increase";"Impact";"Higher frequency of extreme weather events";;;
"imp_14";"Social Inequality";"Impact";"Unequal access to resources or opportunities";;;
"imp_2";"Ecosystem Collapse";"Impact";"Breakdown of ecosystem structure and function";;;
"imp_3";"Species Extinction";"Impact";"Permanent loss of species";;;
"imp_4";"Public Health Crises";"Impact";"Widespread health issues from environmental factors";;;
"imp_5";"Food Insecurity";"Impact";"Lack of reliable access to sufficient food";;;
"imp_6";"Economic Decline";"Impact";"Sustained reduction in economic activity";;;
"imp_7";"Resource Conflicts";"Impact";"Disputes over scarce natural resources";;;
"imp_8";"Aquatic Life Loss";"Impact";"Decline in aquatic species populations";;;
"imp_9";"Wildlife Decline";"Impact";"Reduction in terrestrial wildlife populations";;;
"ind_1";"Corn Farming";"Industry";"Corn/maize farming, significant global sector, high production volumes";;;"0"
"ind_10";"Cattle Farming";"Industry";"Raising cattle for beef or dairy, incl. breeding, feeding, and herd management";;;"0"
"ind_11";"Cattle Slaughtering";"Industry";"The Slaughtering Industry is the entry point where live Cattle are processed into carcasses and raw products for further processing";;;"0"
"ind_13";"Dairy Farming";"Industry";"Milking and initial processing of raw milk";;;
"ind_14";"Tanning";"Industry";"Tanning and treating animal skins and hides for leather products";;;"0"
"ind_15";"Fisheries";"Industry";"Harvesting of fish and aquatic species from wild stocks in marine and fresh water environments, including coastal, inland, and deep-sea ecosystems";;;
"ind_16";"Shark Fisheries";"Industry";"Targeted capture of sharks in marine fisheries, primarily for fins, meat, cartilage, and other derived products";;;
"ind_17";"Pig Farming";"Industry";"Breeding and raising pigs for meat production. Includes commercial and small-scale operations for pork supply";;;"0"
"ind_18";"Pig Slaughtering";"Industry";"The Slaughtering Industry is the entry point where live Pigs are processed into carcasses and raw products for further processing";;;
"ind_20";"Livestock Trading (Bovine)";"Industry";"Import and export of live Bovines for breeding, fattening, or slaughter";;;
"ind_21";"Livestock Trading (Porcine)";"Industry";"Export and import of live Pigs for breeding or slaughter";;;
"ind_22";"Rendering (Animals)";"Industry";"Rendering Plants collect raw byproducts (e.g. bones, cartilage, hides, fat, offal, blood) from animal slaughter for processing into usable materials";;;
"ind_23";"Pharmaceuticals";"Industry";"Producing drugs, vaccines, and biologics for human and animal health";;;
"ind_24";"Pet Food";"Industry";"Manufacturing nutritional products formulated for domestic animals";;;
"ind_25";"Cosmetics";"Industry";"Creating personal care and beauty products for external human use";;;
"ind_26";"Animal Feed";"Industry";"Producing feed formulations to support livestock and poultry health and productivity";;;
"ind_27";"Fertiliser";"Industry";"Converting organic or synthetic materials into nutrient sources to enhance soil fertility and crop growth";;;
"ind_28";"Poultry Farming";"Industry";"Breeding and raising poultry (primarily chickens, turkeys, ducks) for meat or eggs";;;
"ind_29";"Livestock Trading (Poultry)";"Industry";"Import/Export of live poultry (e.g. chicks, breeding stock, or slaughter-ready birds) for breeding, fattening, or slaughter";;;
"ind_3";"Crustacean Processing";"Industry";"Preparation and handling of crustaceans for consumption, commonly shrimp, crabs, lobsters, crayfish";;;
"ind_30";"Poultry Slaughtering";"Industry";"Killing and initial processing of poultry into carcasses, primal cuts, and byproducts (e.g. feathers, offal)";;;
"ind_31";"Paper Manufacturing";"Industry";"Transforming Wood or recycled fibres into usable paper products";;;
"ind_32";"Forestry";"Industry";"The practice of managing, cultivating, and conserving forests and associated resources";;;
"ind_33";"Fish Aquaculture";"Industry";"Fish farming, breeding and raising of fish in controlled environments";;;
"ind_34";"Commercial Fishing";"Industry";"Catching fish and seafood for profit from wild fisheries in marine and freshwater environments";;;
"ind_35";"Artisanal Fishing";"Industry";"Low-tech, small-scale fishing practices by individual fishers or households, primarily for local consumption or trade";;;
"ind_4";"Crustacean Fisheries";"Industry";"Commercial harvesting of aquatic arthropods—commonly decapods such as shrimp, lobsters, and crabs";;;
"ind_5";"Biotechnology";"Industry";"Use of biological systems and organisms to develop new products and processes";;;"1"
"ind_6";"Shrimp and Prawn Farming";"Industry";"Most heavily farmed crustaceans (e.g. Whiteleg shrimp, Giant tiger prawn, Freshwater prawn)";;;"0"
"ind_7";"Lobster Farming";"Industry";"Commonly rock lobsters; smallest farmed share among crustaceans, minor vs wild catch (<5% of total lobster production) (36)";;;
"ind_8";"Crab Farming";"Industry";"Growing sector, though wild-caught fisheries still dominate production (1.6 mil tons wild catch vs 1.24 mil tons from aquaculture) (37)";;;
"ind_9";"Crayfish Farming";"Industry";"Growing sector within aquaculture, production volume smaller than Shrimp, Prawn, and Crab, ~200,000 metric tons (34)";;;
"item_1";"Joint Health Supplements";"Item";"Tablets, capsules, gummies, or powders containing Glucosamine, often combined with Chondroitin Sulfate or other compounds, used to support joint function, reduce pain, and slow cartilage degradation, commonly for osteoarthritis and joint mobility";;;
"item_10";"Confectionery";"Item";"Food items rich in sugar and carbohydrates";;;
"item_11";"Capsules";"Item";"Cylindrical enclosures—commonly made from gelatin or plant-based alternatives—used to encase and deliver medications, supplements, or other ingestible substances. Designed for easy swallowing and controlled release";;;
"item_12";"Collagen Peptides/Hydrolysed Collagen";"Item";"Small pieces of animal Collagen, broken down into smaller peptides or animo acids that can be absorbed through gastrointestinal tract. Commonly available in powdered, pill, or liquid forms";;;
"item_13";"Collagen Face Cream";"Item";"Facial skincare product containing hydrolysed Collagen, formulated to support skin elasticity, hydration, and a smoother appearance";;;
"item_14";"Sausages";"Item";"Processed meat products made from ground or emulsified meat, fat, and seasonings, filled into natural or synthetic casings";;;
"item_15";"Coated Tablets";"Item";"Solid oral dosage forms in which the compressed tablet core is covered with a polymer, sugar, or film coating to improve stability, control release, mask taste, or enhance handling in pharmaceutical manufacturing";;;
"item_16";"Wound Dressings";"Item";"Sterile medical materials or products applied to cover and protect wounds, designed to promote healing, control moisture, absorb exudate, and prevent contamination in clinical or surgical settings";;;
"item_17";"Pet Supplements";"Item";"Nutritional products formulated to support the health, growth, or specific needs of companion animals, containing vitamins, minerals, amino acids, fatty acids, or other bioactive ingredients";;;
"item_18";"Energy Gels";"Item";"Concentrated, easily digestible carbohydrate-based products, often with added electrolytes or other nutrients, designed to provide rapid energy for endurance activities";;;
"item_19";"Protein Bars";"Item";"Compact supplemental foods formulated with concentrated protein (dairy, plant, or blended), carbohydrates, fats, and added nutrients, designed for convenient nutrition and supplementation";;;
"item_2";"Gummies";"Item";"Soft, chewy sweets shaped in various forms, often fruit-flavored";;;
"item_20";"Photographic Film";"Item";"Strip of plastic coated with a chemical emultion used in analog or traditional photography";;;
"item_21";"Crab Stick";"Item";"Processed seafood made primarily from minced white Fish, shaped and flavoured to resemble crab meat";;;
"item_3";"Jello";"Item";"Wiggly, fruit-flavored dessert gel, typically served chilled";;;
"item_4";"Marshmallows";"Item";"Fluffy, sweet confections used in desserts or hot drinks";;;
"item_5";"Dairy Yogurt";"Item";"Creamy dairy product";;;
"item_6";"Cream Cheese";"Item";"Soft, spreadable cheese";;;
"item_7";"Sour Cream";"Item";"Tangy dairy topping";;;
"item_8";"Margarine";"Item";"Vegetable oil spread, butter substitute";;;
"item_9";"Ice Cream";"Item";"Frozen dessert";;;
"mat_1";"Crustacean Shells";"rawMaterial";"Crustacean exoskeletons, often from shrimp (largest source), lobsters, crabs, and crayfish; used to produce chitin, chitosan, and glucosamine";;;"0"
"mat_10";"Wild-Caught Fish";"rawMaterial";"Fish harvested from natural marine and freshwater environments for food, supplements, and byproducts, incl. Cod, Tuna, Anchovies, and Sardines";;;
"mat_2";"Filamentuous Fungi";"rawMaterial";"Saprophytic microorganisms commonly used in various industries to produce enzymes, chemicals, and other compounds";;;"1"
"mat_3";"Bovine (Cow)";"rawMaterial";"Domesticated cattle raised for beef, dairy, leather, and byproducts like gelatin, tallow, and bone meal";;;"0"
"mat_4";"Sharks and Elasmobranchs";"rawMaterial";"Cartilaginous fish harvested for meat, fins, cartilage, liver oil, and skin; byproducts used in supplements, cosmetics, and traditional medicine";;;"0"
"mat_5";"Porcine (Pig)";"rawMaterial";"Domesticated pigs raised for meat (pork) and byproducts such as insulin, gelatin, heparin, and lard";;;"0"
"mat_6";"Avian (Poultry/Fowls)";"rawMaterial";"Birds like chickens and ducks raised for meat, eggs, feathers, and byproducts such as gelatin, enzymes, and vaccines";;;"0"
"mat_7";"Farmed Fish";"rawMaterial";"Fish raised in controlled aquaculture systems for Food, Nutritional Supplements, and other Byproducts, most commonly Salmon, Tilapia, Catfish, and Carp";;;"0"
"mat_8";"Dairy Cows";"rawMaterial";"Cattle selectively bred for high milk production; central to the dairy industry for producing milk, cheese, yogurt and other dairy products";;;"0"
"mat_9";"Lignin (Wood)";"rawMaterial";"A complex organic polymer found in the cell walls of woody plants, providing rigidity and resistance to decay; often obtained as a byproduct of the pulp and Paper industry";;;
"smCountry_1";"USA";"smCountry";"USA";"image";"https://flagsapi.com/US/flat/64.png";
"smCountry_10";"Indonesia";"smCountry";"Indonesia";"image";"https://flagsapi.com/ID/flat/64.png";
"smCountry_11";"European Union";"smCountry";"European Union";"image";"src/Assets/eu_flag.svg";
"smCountry_12";"Ecuador";"smCountry";"Ecuador";"image";"https://flagsapi.com/EC/flat/64.png";
"smCountry_13";"Brazil";"smCountry";"Brazil";"image";"https://flagsapi.com/BR/flat/64.png";
"smCountry_14";"Argentina";"smCountry";"Argentina";"image";"https://flagsapi.com/AR/flat/64.png";
"smCountry_15";"Ukraine";"smCountry";"Ukraine";"image";"https://flagsapi.com/UA/flat/64.png";
"smCountry_16";"South Korea";"smCountry";"South Korea";"image";"https://flagsapi.com/KR/flat/64.png";
"smCountry_17";"Philippines";"smCountry";"Philippines";"image";"https://flagsapi.com/PH/flat/64.png";
"smCountry_18";"Bangladesh";"smCountry";"Bangladesh";"image";"https://flagsapi.com/BD/flat/64.png";
"smCountry_19";"Hong Kong";"smCountry";"Hong Kong";"image";"https://flagsapi.com/HK/flat/64.png";
"smCountry_2";"Australia";"smCountry";"Australia";"image";"https://flagsapi.com/AU/flat/64.png";
"smCountry_20";"United Kingdom";"smCountry";"United Kingdom";"image";"https://flagsapi.com/GB/flat/64.png";
"smCountry_21";"Spain";"smCountry";"Spain";"image";"https://flagsapi.com/ES/flat/64.png";
"smCountry_22";"Taiwan";"smCountry";"Taiwan";"image";"https://flagsapi.com/TW/flat/64.png";
"smCountry_23";"Malaysia";"smCountry";"Malaysia";"image";"https://flagsapi.com/MY/flat/64.png";
"smCountry_24";"Singapore";"smCountry";"Singapore";"image";"https://flagsapi.com/SG/flat/64.png";
"smCountry_25";"Ireland";"smCountry";"Ireland";"image";"https://flagsapi.com/IE/flat/64.png";
"smCountry_26";"Switzerland";"smCountry";"Switzerland";"image";"https://flagsapi.com/CH/flat/64.png";
"smCountry_27";"Belgium";"smCountry";"Belgium";"image";"https://flagsapi.com/BE/flat/64.png";
"smCountry_28";"France";"smCountry";"France";"image";"https://flagsapi.com/FR/flat/64.png";
"smCountry_29";"Lithuania";"smCountry";"Lithuania";"image";"https://flagsapi.com/LT/flat/64.png";
"smCountry_3";"Canada";"smCountry";"Canada";"image";"https://flagsapi.com/CA/flat/64.png";
"smCountry_30";"Peru";"smCountry";"Peru";"image";"https://flagsapi.com/PE/flat/64.png";
"smCountry_31";"Russia";"smCountry";"Russia";"image";"https://flagsapi.com/RU/flat/64.png";
"smCountry_32";"Germany";"smCountry";"Germany";"image";"https://flagsapi.com/DE/flat/64.png";
"smCountry_33";"Nigeria";"smCountry";"Nigeria";"image";"https://flagsapi.com/NG/flat/64.png";
"smCountry_34";"Italy";"smCountry";"Italy";"image";"https://flagsapi.com/IT/flat/64.png";
"smCountry_35";"Netherlands";"smCountry";"Netherlands";"image";"https://flagsapi.com/NL/flat/64.png";
"smCountry_36";"Denmark";"smCountry";"Denmark";"image";"https://flagsapi.com/DK/flat/64.png";
"smCountry_37";"Poland";"smCountry";"Poland";"image";"https://flagsapi.com/PL/flat/64.png";
"smCountry_38";"Iceland";"smCountry";"Iceland";"image";"https://flagsapi.com/IS/flat/64.png";
"smCountry_39";"Maldives";"smCountry";"Maldives";"image";"https://flagsapi.com/MV/flat/64.png";
"smCountry_4";"China";"smCountry";"China";"image";"https://flagsapi.com/CN/flat/64.png";
"smCountry_40";"Norway";"smCountry";"Norway";"image";"https://flagsapi.com/NO/flat/64.png";
"smCountry_41";"Chile";"smCountry";"Chile";"image";"https://flagsapi.com/CL/flat/64.png";
"smCountry_5";"Mexico";"smCountry";"Mexico";"image";"https://flagsapi.com/MX/flat/64.png";
"smCountry_6";"Japan";"smCountry";"Japan";"image";"https://flagsapi.com/JP/flat/64.png";
"smCountry_7";"India";"smCountry";"India";"image";"https://flagsapi.com/IN/flat/64.png";
"smCountry_8";"Thailand";"smCountry";"Thailand";"image";"https://flagsapi.com/TH/flat/64.png";
"smCountry_9";"Vietnam";"smCountry";"Vietnam";"image";"https://flagsapi.com/VN/flat/64.png";
"src_1";"Chitin";"Source";"Derived from exoskeletons of arthropods and cell walls of fungi";;;
"src_10";"Animal Skins/Hides";"Source";"Animal hide rich in collagen, widely utilized for gelatin production, collagen peptide manufacturing, leather processing, and cosmetic or pharmaceutical formulations";;;
"src_11";"Animal Tendons, Ligaments, and Fascia";"Source";"Tendons, sinews, and ligaments from animals, primarily obtained as byproducts of the meat processing industry; utilized for gelatin production, collagen peptide manufacturing, nutraceuticals, and medical-grade biomaterials";;;
"src_12";"Fish Scales & Skin";"Source";"Collagen-rich outer tissue of fish, commercially processed for gelatin, collagen peptides, cosmetic actives, and biomedical or packaging applications such as wound dressings and biofilms";;;
"src_13";"Other Fish Parts";"Source";"Various fish byproducts—such as heads, bones, and fins—processed for collagen extraction, fish protein hydrolysates, animal feed, fertilizers, and biomedical uses";;;
"src_14";"DMS (Dimethyl Sulfide)";"Source";"A sulfur-containing compound originating from the breakdown of Lignin in wood pulp during Paper Manufacturing";;;
"src_15";"DMSO (Dimethyl Sulfoxide)";"Source";"A colorless, odorless organic solvent derived from the oxidation of dimethyl sulfide (DMS), used widely in industrial applications and as a precursor in the synthesis of dietary supplements like MSM";;;
"src_16";"Rooster Combs";"Source";"The fleshy, red, and prominent growth on top of a rooster's head, more prominent than in hens";;;"0"
"src_17";"Bacteria (Streptococcus spp. or Bacillus spp.)";"Source";"Bacterial strains, typically used in fermentation for producing hyaluronic acid as well as in food processing, enzyme production, probiotics, and other industrial applications";;;"1"
"src_18";"Fish Meat & Products";"Source";"Fish Flesh and related products, primarily consumed as food";;;"0"
"src_2";"Corn";"Source";"Also known as maize; widely cultivated for use in food, feed, and various industrial applications";;;"0"
"src_3";"Animal Cartilage";"Source";"Tough connective tissue from cattle, poultry, and fish, used for collagen/gelatin and chondroitin extraction in supplements, foods, pet feed, and biomedical applications";;;
