"id";"ref";"tags"
61;https://awionline.org/content/international-efforts;shark trade
62;https://stellinamarfa.com/seafood/what-country-catches-the-most-sharks/;shark, catch
63;https://www.traffic.org/site/assets/files/12427/top-20-sharks-web-1.pdf;shark fin, import
64;https://www.ifaw.org/uk/journal/global-shark-trade-findings;shark, import, transit hubs
65;https://www.padi.com/sites/default/files/padi-aware/infographics/shark-myths/2.html;shark fins, import, export
66;https://www.cognitivemarketresearch.com/shark-cartilage-product-market-report;shark cartilage, market share
67;https://www.volza.com/p/glucosamine-chondroitin/import/;glucosamin, condroitin, import, export
68;https://dataintelo.com/report/chitin-market;chitin, market, consumer
69;https://oec.world/en/profile/bilateral-product/frozen-bovine-meat/reporter/hkg;beef, hong kong, import, export
70;https://trendeconomy.com/data/h2/Hongkong/0201;beef, hong kong, import, export
71;https://www.pigprogress.net/market-trends-analysis-the-industrymarkets/us-2024-was-a-record-year-for-pork-exports/;pork, US, export
72;https://onlinelibrary.wiley.com/doi/10.1111/jwas.12963;crab farming, chinese mitten crabs
73;https://www.labiotech.eu/best-biotech/top-biotech-countries/;biotech, countries, OECD
74;https://www.ddw-online.com/where-are-the-global-hotspots-for-biotech-30812-202407/;biotech, countries
75;https://worldpopulationreview.com/country-rankings/fishing-industry-by-country;fishing, fisheries, top countries
76;https://enviroliteracy.org/which-country-hunts-the-most-sharks/;shark fisheries, shark fishing, countries
77;https://www.researchgate.net/figure/Top-20-countries-by-of-global-reported-shark-catch-adapted-from-Lack-Sant-2011_tbl1_266888719;shark fisheries, shark catch, countries
78;https://www.msc.org/species/sharks;shark fishing
79;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/160510;crab, prepared, exports, 2024
80;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/160520;shrimp, prepared, exports, 2024
81;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2023/tradeflow/Exports/partner/WLD/product/160520;shrimp, prepared, exports, 2023
82;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2023/tradeflow/Exports/partner/WLD/product/030613;shrimp, frozen, exports, 2023
83;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010290;bovine livestock trade, 2024
84;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/010290;bovine livestrock trade, import, 2024
85;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010391;swine, pigs, livestock exports, 2024
86;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010511;chicks, young chickens, exports, 2024
87;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010591;mature chickens, exports, 2024
88;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010519;young non chickens, fowls, ducks, geese, turkeys, export, 2024
89;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Exports/partner/WLD/product/010599;mature, non chickens, fowls, ducks, geese, turkeys, export, 2024
90;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/010511;import, live fowls, chicks, 2024
91;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/010591;import, live fowls, mature chickens, 2024
92;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/010519;import, non-chicks, 2024
93;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/010599;import, mature, non-chickens, 2024
94;https://pmc.ncbi.nlm.nih.gov/articles/PMC11016693/#b2-ab-23-0367;Pig, population, number, 2023
95;https://worldostats.com/country-stats/pig-population-by-country/;Pig, population, number, 2025
96;https://www.indexmundi.com/agriculture/?commodity=cattle&graph=total-slaughter;cattle slaughtered per year, country, 2025
97;https://www.indexmundi.com/agriculture/?commodity=swine&graph=total-slaughter;swine, pigs, slaughtered, country, 2025
98;https://faunalytics.org/global-animal-slaughter-statistics-and-charts/;fowls, poultry, slaughter, country, 2023
99;https://www.healthcentral.com/condition/rheumatoid-arthritis/collagen-for-ra-joint-pain;collagen, joint pain, evidence
100;https://www.goodrx.com/health-topic/joints/collagen-for-joints-and-pain;collagen, joint pain, evidence, moderate
101;https://pubmed.ncbi.nlm.nih.gov/30681787/;collagen, skin effectiveness, moderate
102;https://pmc.ncbi.nlm.nih.gov/articles/PMC8824545/;collagen, skin care effectiveness, topical, oral, limited
103;https://www.petmd.com/dog/nutrition/glucosamine-for-dogs;glucosamine, effectiveness, dogs, general info
104;https://www.dvm360.com/view/joint-supplements-dogs-helpful-vs-hype;chondroitin, effectiveness, dogs, general info
105;https://petjope.com/blogs/dog-hip-and-joints/chondroitin-for-dogs-5-things-to-know-vet-s-expert#:~:text=What%20is%20chondroitin%20good%20for,II%C2%AE%20collagen%20are%20available.;glucosamine, chondroitin, effectiveness, dogs
106;https://pmc.ncbi.nlm.nih.gov/articles/PMC8541357/;glucosamine, collagen, effectiveness, moderate, dogs
107;https://www.jinjinfoodltd.com/blogs/top-5-countries-leading-the-gummies-market-and-their-best-selling-products;gummies market, leading countries
108;https://www.allpackchina.com/top-gummy-manufacturers/;gummies market, leading countries
109;https://www.webmd.com/vitamins-and-supplements/msm-methylsulfonylmethane-uses-and-risks;MSM, evidence, moderate
110;https://pmc.ncbi.nlm.nih.gov/articles/PMC4469223/#:~:text=Conclusion,and%20effective%20long%2Dterm%20therapy.;hyaluronic acid, effectiveness
111;https://wits.worldbank.org/trade/comtrade/en/country/ALL/year/2024/tradeflow/Imports/partner/WLD/product/051191;fish waste importers, 2024
112;https://www.fao.org/in-action/globefish/news-events/news/news-detail/world-fish-trade-fall-in-2024/en;imports & exports, fishery products, 2017-2024
113;https://currentaffairs.adda247.com/top-10-fish-producing-countries-in-the-world/;fish producers, 2024
114;https://worldpopulationreview.com/country-rankings/fish-consumption-by-country;fish consumption, country, consumers, 2022
115;https://www.fao.org/newsroom/detail/fao-report-global-fisheries-and-aquaculture-production-reaches-a-new-record-high/en;aquaculture and fisheries, production
116;https://migration.ucdavis.edu/rmn/blog/post/?id=2803;wild fish caught, 2020
117;https://openknowledge.fao.org/server/api/core/bitstreams/66538eba-9c85-4504-8438-c1cf0a0a3903/content/sofia/2024/trade-of-aquatic-products.html#:~:text=Norway%20exports%20mostly%20farmed%20salmonids,the%20United%20States%20of%20America.;exports, fish, aquaculture, 2024
118;https://www.cropscience.bayer.us/articles/bayer/herbicide-carryover-and-crop-rotation-to-corn;herbicide use in corn farming, herbicide persistence, corn crop rotation
119;https://www.epa.gov/nutrientpollution/sources-and-solutions-agriculture;excess nutrients, over-fertilisation consequences
120;https://www.sciencedirect.com/science/article/abs/pii/S0301479725040125;agriculture expansion on biodiversity, habitat loss, agrochemical use, water depletion, soil degradation
121;https://pubs.acs.org/doi/10.1021/acs.est.0c06405;Pesticide retension in soil
122;https://link.springer.com/article/10.1007/s11367-015-0902-y;environmental pathways of pesticides in corn farming, air and water ways
123;https://home.dartmouth.edu/news/2020/06/deforestation-and-land-clearing-are-taking-toll-brazils-corn-yield;Corn, soy farming and deforestation in Brazil
124;https://www.worldwildlife.org/our-work/forests/soil-erosion-and-degradation/;Soil degradation consequences
125;https://eos.com/blog/monoculture-farming/#:~:text=Agricultural%20monoculture%20upsets%20the%20natural,requires%20multiple%20types%20of%20roots.;Monoculture Farming good and bad
126;https://wwf.org.au/what-we-do/species/tree-clearing-and-deforestation/;Effects of Deforestation
127;https://pachamama.org/effects-of-deforestation;Effects of Deforestation
128;https://www.nifa.usda.gov/sites/default/files/resources/Insecticide%20resistance.pdf;Pesticide resistance
129;https://www.epa.gov/eco-research/ecosystems-and-air-quality;Air pollutants entering water
130;https://www.eea.europa.eu/en/analysis/publications/zero-pollution/ecosystems/soil-pollution-and-ecosystems;Soil, water, air contamination pathways
131;https://www.noaa.gov/education/resource-collections/ocean-coasts/ocean-acidification#:~:text=Carbon%20dioxide%20and%20seawater&text=Water%20and%20carbon%20dioxide%20combine,2%20dissolving%20into%20the%20ocean.;Ocean acidification causes
132;https://oceanservice.noaa.gov/facts/eutrophication.html;Eutrophication
133;https://www.usgs.gov/mission-areas/water-resources/science/nutrients-and-eutrophication;Eutrophication from fertilisers
134;https://pmc.ncbi.nlm.nih.gov/articles/PMC3357798/;Habitat loss leading to Biodiversity loss
135;https://www.epa.gov/report-environment/greenhouse-gases;Greenhouse gases and Climate Change
136;https://www.iea.org/topics/climate-change;Enegry consumption and GHG emissions
137;https://www.iea.org/data-and-statistics/data-tools/greenhouse-gas-emissions-from-energy-data-explorer;GHG Emissions from Energy Sector
138;https://www.sciencedirect.com/science/article/pii/S2405665024001112#:~:text=Pesticides%20impact%20soil%20health%20and,practices%20%5B47%2C48%5D.;Pesticides effects, review article
139;https://www.sciencedirect.com/science/chapter/edited-volume/abs/pii/B9780323904896000021;Pesticides retention in soil and water
140;https://www.environment.nsw.gov.au/topics/land-and-soil/soil-degradation#:~:text=Soil%20degradation%20is%20the%20physical,chemicals%2C%20pollutants%20or%20excessive%20flooding.;Soil Degradation concept
141;https://esajournals.onlinelibrary.wiley.com/doi/10.2307/1941758;Monoculture reduces soil fertility
142;https://www.epa.gov/report-environment/drinking-water#:~:text=If%20drinking%20water%20contains%20unsafe,%2C%20fever%2C%20and%20kidney%20failure.;Drinking water contamination
143;https://www.sciencedirect.com/science/article/pii/S235239642300169X;HABs effecting human health through aerosol inhalation
144;https://www.sciencedirect.com/science/article/pii/S2772735124001136?via%3Dihub#sec3;Water Contamination Effects
145;https://oceanservice.noaa.gov/education/tutorial-coastal/harmful-algal-blooms/habs02.html#:~:text=A%20fish%20killed%20by%20the,nutrient%20pollution%20and%20extreme%20weather.;Harmful Algal Blooms and impacts
146;https://www.epa.gov/nutrientpollution/effects-dead-zones-and-harmful-algal-blooms;Dead Zones and HABs
147;https://www.undrr.org/understanding-disaster-risk/terminology/hips/en0501#:~:text=Additional%20scientific%20description,rates%20(IPBES%2C%202019).;Biodiveristy Loss Drivers and Impacts
148;https://www.wri.org/insights/high-water-stress-jeopardizes-one-third-worlds-corn-crop;Corn industry concerns
149;https://soilqualityknowledgebase.org.au/soil-erosion/#:~:text=The%20susceptibility%20of%20a%20soil,determining%20a%20soil's%20erodibility%20are:;Soil Erosion causes
