"from_node";"to_node";"label";"title";"roleCount";"is_same_level"
"icCountry_5";"ind_16";"Recognised Catcher";"Mexico catches a notable amount of Sharks in coastal and pelagic fisheries, targeting various species (48, 76, 77, 78)";"1";"0"
"icCountry_5";"ind_20";"Recognised Exporter";"Mexico is an emerging Exporter of Live Bovines (~$793M, ~748K head, 2024) (83)";"1";"0"
"icCountry_7";"ind_1";"Recognised Grower";"India is a growing Grower/Producer of Corn, but not a major exporter (9)";"1";"0"
"icCountry_7";"ind_10";"Top Grower";"India has the largest cattle population (~306.7M, 2022), despite ranking behind the US, Brazil, and China in beef production (50)";"1";"0"
"icCountry_7";"ind_11";"Top Processor";"India is close behind Brazil in Cattle Slaughter, ~41.4M head/year (2025) (96)";"1";"0"
"icCountry_7";"ind_15";"Significant Catcher";"India has the 3rd largest Fisheries, after China and Indonesia, producing 5.5M tonnes (2022) (75)";"1";"0"
"icCountry_7";"ind_16";"Significant Catcher";"India consistently ranks among the top 3 Shark Fishing nations, with a substantial impact on global shark populations (48, 76, 77, 78)";"1";"0"
"icCountry_7";"ind_3";"Significant Player";"India is a notable player in the Crustacean Processing industry and one of the top exporters of prepared and frozen shrimps and prawns (80, 81, 82)";"1";"0"
"icCountry_7";"ind_30";"Recognised Processor";"India ranks in the top 5 for Poultry Slaughter, after Indonesia, with ~3.03B fowls/year (incl. chickens, ducks; 2023) (98)";"1";"0"
"icCountry_7";"ind_4";"Significant Catcher";"India has significant shrimp and crab fisheries (43)";"1";"0"
"icCountry_7";"ind_6";"Significant Producer";"India is a major shrimp producer, with an aquaculture industry yielding approximately 734,160 tonnes (40, 41)";"1";"0"
"icCountry_8";"ind_3";"Significant Player";"Thailand is a notable player in the Crustacean Processing industry and a major exporter of processed shrimps and prawns (80, 81, 82)";"1";"0"
"icCountry_9";"ind_3";"Significant Player";"Vietnam is one of the key players in the Crustacean Processing industry, exporting processed products valued at $1.54B (39, 81, 82)";"1";"0"
"icCountry_9";"ind_6";"Significant Producer";"Vietnam is a major shrimp producer, with shrimp aquaculture yielding around 945,791 tonnes (40, 41)";"1";"0"
"icCountry_9";"ind_7";"Top Grower";"Vietnam is a leading lobster farming country, mainly for domestic use and exports, primarily to China (45, 46)";"1";"0"
"icCountry_9";"ind_8";"Significant Grower";"Vietnam is a significant mud crab farming nation, producing over 38,000 tonnes annually, with a strong export focus to East and Southeast Asian markets (44, 48)";"1";"0"
"imp_1";"imp_2";;"test desc (test ref)";"1";"1"
"imp_1";"imp_8";;;"1";"1"
"ind_1";"con_1";"Associated with";"High nutrient demands, particularly concerning Nitrogen (N) and Phosphorus (P) fertilisers (test ref)";"1";"0"
"ind_1";"con_2";;;"1";"0"
"ind_1";"con_3";;;"1";"0"
"ind_1";"con_4";;;"1";"0"
"ind_1";"con_9";;;"1";"0"
"ind_10";"ind_11";;"Cattle Farming is the primary source of cattle supply to the Cattle Slaughtering industry for meat and other byproducts";"1";"1"
"ind_10";"ind_20";;"Cattle Farming produces livestock, which can be traded domestically and internationally for breeding or slaughter";"1";"1"
"ind_11";"ind_12";;"The Cattle Slaughtering industry provides prepared carcasses and parts to the Meat Processing industry for further processing into meat cuts and other products";"1";"1"
"ind_11";"ind_22";;"Rendering Plants collect raw byproducts (e.g. bones, cartilage, hides, fat, offal, blood, hooves, horns) from Cattle Slaughtering for processing into usable materials";"1";"1"
"ind_17";"ind_18";;"Farmed Pigs are transported to Slaughtering facilities for killing and initial processing";"1";"1"
"ind_17";"ind_21";;"Pig Farming produces livestock widely traded for Breeding, Fattening, or Slaughter";"1";"1"
"ind_18";"ind_19";;"Slaughtered Pigs from Abattoirs and Slaughterhouses are sent to Meat Processing plants for cutting, packaging, and further preparation";"1";"1"
"ind_18";"ind_22";;"Rendering Plants collect raw byproducts (e.g. bones, cartilage, hides, fat, offal, blood) from Pig Slaughtering for processing into usable materials";"1";"1"
"ind_22";"ind_14";;"The Rendering industry supplies prepared hides to the Leather industry for tanning and manufacturing";"1";"1"
"ind_22";"ind_23";;"The Rendering Industry supplies the Pharmaceutical Industry with processed materials-such as Collagen, Gelatin, Chondroitin Sulfate, Heparin, and Insulin-derived from Bovine, Porcine, and Avian byproducts";"1";"1"
"ind_22";"ind_25";;"The Rendering Industry supplies the Cosmetics Industry with processed materials—such as Animal Fats, Gelatin, Collagen, Keratin, Glycerin (Glycerol), and Stearic Acid—used as emollients, thickeners, and active ingredients in skincare and personal care products";"1";"1"
"ind_28";"ind_29";;"Poultry Farming produces livestock for domestic and international trade for Breeding, Eggs, Fattening, or Slaughter";"1";"1"
"ind_28";"ind_30";;"Farmed Avian species are delivered to the Poultry Slaughtering Industry for killing and initial carcass preparation";"1";"1"
"ind_3";"ind_4";;"Crustacean Fisheries is a significant contributor to the seafood processing industry, 4-6 million tons of wild-caught crustaceans annually (34)";"1";"1"
"ind_3";"ind_6";;"Shrimp and Prawn Farming supplies ~4 million tons of farmed shrimp annually; farmed and wild-caught shrimp dominate crustacean processing (31, 34)";"1";"1"
"ind_3";"ind_7";;"Lobster Farming is a small but growing segment, contributing a minor share to the processing industry (36)";"1";"1"
"ind_3";"ind_8";;"Crab Farming is a small but growing segment, contributing a minor share to the processing industry (37)";"1";"1"
"ind_3";"ind_9";;"Crayfish Farming is a small but growing segment, contributing a minor share to the processing industry (34)";"1";"1"
"ind_30";"ind_22";;"Poultry byproducts from Slaughtering are processed in the Rendering Industry for materials used in other industries, though to a much smaller extent compared to Bovine and Porcine";"1";"1"
"ind_31";"ind_32";;"The Forestry Industry provides the primary raw materials (Wood) for Paper Manufacturing";"1";"1"
"item_1";"comp_1";"Glucosamine: Main Ingredient in Joint Health Supplements. Health or nutritional benefits";"Glucosamine is the main ingredient in most Joint Health Supplements, believed to help relieve joint pain. Evidence: Moderate (23)";"1";"0"
"item_1";"comp_2";"Chondroitin: Main Ingredient in Joint Health Supplements. Health or nutritional benefits";"Chondroitin is often paired with Glucosamine in Joint Health Supplements for pain relief. Evidence: Limited (28, 29)";"1";"0"
"item_1";"comp_4";"Collagen: Active Ingredient in Joint Health Supplements. Health or nutritional benefits";"Collagen is a key ingredient in Joint Health Supplements, believed to support cartilage health and improve joint flexibility. Evidence: Moderate (99, 100)";"1";"0"
"item_1";"comp_5";"Marine Collagen: Active Ingredient in Joint Health Supplements. Health or nutritional benefits";"Marine Collagen is commonly used in Joint Health Supplements for its small peptide size, which is thought to improve absorption and support cartilage health and joint mobility. Evidence: Moderate (99, 100)";"1";"0"
"item_1";"comp_6";"MSM (Methylsulfonylmethane): Active Ingredient in Joint Health Supplements. Health or nutritional benefits";"MSM is used in Joint Health Supplements, thought to support joint comfort and mobility. Evidence: Moderate (109)";"1";"0"
"item_1";"comp_7";"Hyaluronic Acid: Active Ingredient in Joint Health Supplements. Health or nutritional benefits";"Hyaluronic Acid is used in Joint Health Supplements, thought to support joint lubrication and mobility. Evidence: Moderate (110)";"1";"0"
"item_10";"comp_3";"Gelatin: Coating Agent in Confectionery. Provides Coating";"Gelatin is commonly used in Confectionery to provide structure, chewiness, and stability. Evidence: Not Applicable";"1";"0"
"item_11";"comp_3";"Gelatin: Excipient in Capsules. Controls Release";"Gelatin is the main material used in Capsules, forming a protective shell for powders, liquids, or supplements. Evidence: Not Applicable";"1";"0"
"item_12";"comp_4";"Collagen: Main Ingredient in Collagen Peptides/Hydrolysed Collagen. Health or nutritional benefits";"Collagen is the main ingredient in Collagen Peptides and Hydrolysed Collagen, providing short-chain proteins thought to support skin, hair, nails, and joint health. Evidence: Moderate (99, 100)";"1";"0"
"item_12";"comp_5";"Marine Collagen: Main Ingredient in Collagen Peptides/Hydrolysed Collagen. Health or nutritional benefits";"Marine Collagen is used in Collagen Peptides and Hydrolysed Collagen, providing easily absorbed proteins thought to support skin, hair, nails, and joint health. Evidence: Moderate (99, 100)";"1";"0"
"item_13";"comp_4";"Collagen: Active Ingredient in Collagen Face Cream. Health or nutritional benefits";"Collagen is used in Collagen Face Creams, thought to help improve skin elasticity and hydration. Evidence: Moderate (102)";"1";"0"
"item_13";"comp_5";"Marine Collagen: Active Ingredient in Collagen Face Cream. Health or nutritional benefits";"Marine Collagen is used in Collagen Face Creams, thought to help enhance skin elasticity and hydration. Evidence: Limited (102)";"1";"0"
"item_14";"comp_3";"Gelatin: Biding Agent in Sausages. Enhances Stability";"Gelatin is used in Sausages to improve texture, binding, and juiciness. Evidence: Not Applicable";"1";"0"
"item_14";"comp_4";"Collagen: Coating Agent in Sausages. Provides Coating";"Collagen is used in Sausages, primarily as a casing material and to help maintain texture and shape. Evidence: Not Applicable";"1";"0"
"item_15";"comp_3";"Gelatin: Coating Agent in Coated Tablets. Provides Coating";"Gelatin is used in Coated Tablets to form a protective outer layer and aid in swallowing. Evidence: Not Applicable";"1";"0"
"item_16";"comp_3";"Gelatin: Active Ingredient in Wound Dressings. Health or nutritional benefits";"Gelatin is used in Wound Dressings to provide a supportive matrix that helps with moisture retention and healing. Evidence: Not Applicable";"1";"0"
